Papel;Tipo;Empresa;Setor;Subsetor;Cotação;Min 52 sem;Max 52 sem;Vol $ méd (2m);Nro. Ações;Valor de mercado;Valor da firma;P/L;LPA;P/VP;VPA;P/EBIT;Marg. Bruta;PSR;Marg. EBIT;P/Ativos;Marg. Líquida;P/Cap. Giro;EBIT / Ativo;P/Ativ Circ Liq;Div. Yield;ROIC;ROE;EV / EBITDA;Liquidez Corr;EV / EBIT;Div Br/ Patrim;Cres. Rec (5a);Giro Ativos;Ativo;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq;Receita Líquida;EBIT;Lucro Líquido;Receita Líquida_;EBIT_;Lucro Líquido_;Depósitos;Cart. de Crédito;Result Int Financ;Result Int Financ_;Rec Serviços;Rec Serviços_
VALE3;ON NM;VALE ON NM;Mineração;Minerais Metálicos;67.49;59.31;82.77;1734300000.0;4539010000.0;306338000000.0;356459000000.0;6.45;10.47;1.61;41.9;3.83;40.1%;1.48;38.8%;0.69;23.3%;59.46;17.9%;-1.76;9.0%;20.1%;25.0%;3.72;1.08;4.46;0.37;10.7%;0.46;445621000000.0;70289000000.0;20168000000.0;50121000000.0;73474000000.0;190172000000.0;206296000000.0;79954000000.0;47517000000.0;51962000000.0;20379000000.0;13864000000.0;;;;;;
PETR4;PN;PETROBRAS PN;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;42.9;17.82;42.9;1243840000.0;13044500000.0;559609000000.0;797913000000.0;4.09;10.5;1.45;29.59;2.32;51.1%;1.04;44.9%;0.55;25.6%;-77.08;23.5%;-1.14;16.9%;25.8%;35.5%;2.53;0.95;3.31;0.79;20.3%;0.52;1025500000000.0;305451000000.0;67147000000.0;238304000000.0;147311000000.0;386007000000.0;536315000000.0;240889000000.0;136904000000.0;124828000000.0;58099000000.0;26625000000.0;;;;;;
ITUB4;PN N1;ITAUUNIBANCO PN N1;Intermediários Financeiros;Bancos;34.92;22.33;34.92;811325000.0;9804140000.0;342360000000.0;;10.25;3.41;1.88;18.62;;;;;;0.0%;;0.0%;;3.6%;;18.3%;;;;;50.8%;;408327000000.0;;;;;182505000000.0;;;33389000000.0;;;9396000000.0;82678000000.0;143370000000.0;7168000000.0;2061000000.0;10725000000.0;2972000000.0
BBDC4;PN N1;BANCO BRADESCO S.A. PN N1;Intermediários Financeiros;Bancos;13.65;11.88;17.06;723361000.0;10642200000.0;145266000000.0;;9.61;1.42;0.9;15.15;;;;;;0.0%;;0.0%;;8.2%;;9.4%;;;;;-10.3%;;1588210000000.0;;;;;161182000000.0;;;15121800000.0;;;1703150000.0;0.0;0.0;22010100000.0;5595540000.0;20872700000.0;5396550000.0
BBAS3;ON;BANCO DO BRASIL S.A. ON;Intermediários Financeiros;Bancos;58.92;34.9;59.6;461898000.0;2865420000.0;168830000000.0;;5.02;11.73;1.03;57.11;;;;;;0.0%;;0.0%;;7.8%;;20.5%;;;;;24.3%;;2208050000000.0;;;;;163638000000.0;;;33614900000.0;;;8779390000.0;0.0;0.0;53436000000.0;13352300000.0;21065600000.0;5304830000.0
B3SA3;ON;B3 ON;Serviços Financeiros Diversos;Serviços Financeiros Diversos;12.69;10.12;14.96;430491000.0;5646500000.0;71654100000.0;68300100000.0;16.98;0.75;3.54;3.58;13.25;85.7%;6.82;51.5%;1.5;40.2%;13.13;11.3%;-6.88;3.5%;16.5%;20.9%;10.55;1.46;12.63;0.57;14.5%;0.22;47872700000.0;11577000000.0;14931000000.0;-3353960000.0;17212900000.0;20233800000.0;10501500000.0;5405910000.0;4220220000.0;2490080000.0;1346050000.0;1074240000.0;;;;;;
PRIO3;ON;PETRORIO ON;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;45.89;29.88;50.12;396687000.0;892060000.0;40936600000.0;49233100000.0;8.98;5.11;3.17;14.46;7.26;62.3%;4.04;55.6%;1.44;44.9%;33.31;19.8%;-3.89;0.2%;22.0%;35.3%;6.53;1.32;8.73;0.82;74.0%;0.36;28521700000.0;10521700000.0;2225260000.0;8296450000.0;5086530000.0;12901100000.0;10145400000.0;5642470000.0;4558570000.0;4045490000.0;2285470000.0;1628820000.0;;;;;;
RENT3;ON;LOCALIZA RENT A CAR ON;Diversos;Aluguel de carros;52.56;48.84;69.39;379296000.0;1068090000.0;56139100000.0;84365700000.0;36.33;1.45;2.23;23.59;10.58;29.0%;2.09;19.7%;0.76;5.7%;215.7;7.2%;-1.67;2.8%;9.0%;6.1%;8.71;1.02;15.9;1.46;27.0%;0.36;73841900000.0;36721000000.0;8494350000.0;28226600000.0;15103900000.0;25191500000.0;26879300000.0;5306280000.0;1545150000.0;7321960000.0;1632190000.0;665027000.0;;;;;;
MGLU3;ON NM;MAGAZ LUIZA ON NM;Comércio;Eletrodomésticos;2.09;1.32;4.35;299447000.0;6748930000.0;14105300000.0;18223700000.0;-35.47;-0.06;1.48;1.41;13.74;28.5%;0.38;2.7%;0.38;-1.1%;6.0;2.8%;-1.78;0.0%;4.2%;-4.2%;7.86;1.14;17.75;0.78;19.5%;1.01;36919000000.0;7403320000.0;3284850000.0;4118460000.0;19475800000.0;9532650000.0;37385800000.0;1026480000.0;-397650000.0;8578820000.0;216277000.0;331229000.0;;;;;;
HAPV3;ON NM;HAPVIDA ON NM;Serv.Méd.Hospit. Análises e Diagnósticos;Serv.Méd.Hospit. Análises e Diagnósticos;3.49;1.94;5.26;280457000.0;7539460000.0;26312700000.0;31790800000.0;-25.69;-0.14;0.54;6.51;754.15;24.4%;0.98;0.1%;0.35;-3.8%;61.8;0.0%;-1.57;0.0%;0.1%;-2.1%;14.19;1.05;911.15;0.22;52.9%;0.36;74771900000.0;10898200000.0;5420110000.0;5478120000.0;8911270000.0;49114400000.0;26950300000.0;34890800.0;-1024390000.0;6881860000.0;124161000.0;-205669000.0;;;;;;
BPAC11;UNT;BTGP BANCO UNT;Intermediários Financeiros;Bancos;36.89;17.94;38.47;269274000.0;11506100000.0;141487000000.0;;14.26;2.59;2.87;12.88;;;;;;0.0%;;0.0%;;2.1%;;20.1%;;;;;31.4%;;442248000000.0;;;;;49381800000.0;;;9924570000.0;;;2727550000.0;121500000000.0;57906500000.0;9874740000.0;2265130000.0;3053280000.0;671011000.0
EQTL3;ON NM;EQUATORIAL ENERGIA S.A. ON NM;Energia Elétrica;Energia Elétrica;33.99;24.19;35.83;256776000.0;1147110000.0;38990200000.0;74877600000.0;20.95;1.62;1.99;17.06;4.72;30.1%;1.04;21.9%;0.39;7.1%;10.28;8.4%;-0.75;1.0%;9.7%;9.5%;7.51;1.19;9.06;2.31;23.0%;0.38;98775400000.0;45185100000.0;9297740000.0;35887400000.0;23859900000.0;19573900000.0;37656500000.0;8264940000.0;1861310000.0;10361500000.0;2501650000.0;720023000.0;;;;;;
ELET3;ON;ELETROBRÁS ON;Energia Elétrica;Energia Elétrica;42.85;30.33;43.64;250840000.0;2307100000.0;98859200000.0;138019000000.0;30.88;1.39;0.87;49.03;9.42;50.0%;2.81;29.8%;0.36;8.6%;3.64;3.8%;-0.94;0.5%;4.3%;2.8%;9.79;1.88;13.15;0.63;19.4%;0.13;276807000000.0;71110700000.0;31951000000.0;39159700000.0;58035100000.0;113118000000.0;35240600000.0;10493300000.0;3201770000.0;8781430000.0;2445310000.0;1483900000.0;;;;;;
