TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS;LIQUIDEZ MEDIA DIARIA;VPA;LPA;PEG Ratio;VALOR DE MERCADO;Vol Histórica;Tag Along;Tickers Opções;Segmento;Free Float;margembruta_pos_years;margemliquida_pos_years;margemliquida_last_negative_year;lpa_pos_years;lpa_last_negative_year;margembruta_trend;margemliquida_trend;lpa_trend;vpa_trend;dividaliquida_patrimonioliquido_trend;dividaliquida_ebit_trend;passivo_ativo_trend;liquidezcorrente_trend;margembruta_last_negative_year
VALE3;66.01;9.21;6.31;1.58;0.67;40.12;31.07;23.03;4.67;5.46;0.78;0.26;1.45;58.16;-0.81;1.08;24.99;10.66;21.26;0.43;0.56;0.46;15.85;21.94;1834162724.21;41.9;10.47;-0.11;299619890355.8;26.432432209113;100.0%;992.0;Novo Mercado;98.01%;1.0;0.8823529411764706;2019.0;0.8571428571428571;2019.0;-0.01016130794332415;0.01544998910437867;0.08855177395640412;0.03269410906386572;-0.040653813914495185;0.010392357059507473;0.017563648082502326;-0.07770457058605196;
PETR4;42.45;17.26;4.04;1.43;0.54;51.08;38.69;25.53;2.67;3.86;1.15;0.62;1.03;-76.27;-0.63;0.95;35.47;13.35;21.54;0.38;0.62;0.52;17.72;;1301390794.35;29.59;10.5;-0.18;562297716941.8;30.091372066372;100.0%;1383.0;Nível 2;63.39%;1.0;0.7647058823529411;2017.0;0.7142857142857143;2017.0;0.028250213128725887;0.044992939995810666;0.09614997972506378;0.01523443578146999;0.028306159420293353;0.06111684558216912;0.01764455782312857;-0.035927062646693986;
ITUB4;35.68;3.52;10.99;1.9;0.14;30.03;9.92;8.3;9.2;8.57;;;0.91;;-0.14;;17.34;1.27;;0.07;0.92;0.15;13.63;6.54;860035044.41;18.73;3.25;0.94;325813423879.08;21.02078784595;80.0%;456.0;Nível 1;52.89%;1.0;1.0;;1.0;;-0.03979150275374577;0.23192499348745188;-0.011684420405598583;-0.000683905955855435;;;0.001438733914155721;0.07920333487724607;
BBDC4;13.97;7.97;10.74;0.89;0.08;30.94;3.95;6.18;16.82;15.98;;;0.66;0.65;-0.09;11.4;8.33;0.73;;0.09;0.91;0.12;8.37;-4.12;793480394.06;15.62;1.3;-0.25;141315297625.38;31.18892637332;80.0%;576.0;Nível 1;62.46%;1.0;1.0;;1.0;;-0.0219962177399583;-0.025170476812536147;-0.09127529721033834;-0.010011862815218375;;;0.003334619837900954;0.17468526709768528;
BBAS3;59.3;7.72;5.1;1.03;0.08;32.66;15.94;12.4;3.97;3.97;;;0.63;2.97;-0.08;14.76;20.1;1.5;;0.07;0.92;0.12;9.97;25.65;500503101.5;57.82;11.62;0.23;169919229286.0;22.589095359837;100.0%;688.0;Novo Mercado;49.58%;1.0;1.0;;1.0;;0.007122794209260208;-0.004981099667536015;0.06037308933657104;0.05650658827116706;;;-0.002888616891064788;-0.08162766329025495;
B3SA3;12.94;3.23;17.31;3.61;1.53;85.66;51.52;40.19;13.51;12.89;-0.62;-0.17;6.96;13.39;-2.38;1.46;20.86;8.82;12.22;0.42;0.58;0.22;22.44;26.63;452366870.76;3.58;0.75;-7.98;73065710000.0;33.124567973705;100.0%;373.0;Novo Mercado;101.54%;1.0;1.0;;1.0;;-0.010058764142350185;-0.023045353557520576;0.029618393132541332;-0.09415892116668656;0.03107210626185708;-0.23491678224686785;0.056411290322600616;-0.04290744466800778;
PRIO3;46.12;0.16;9.03;3.19;1.44;62.28;55.18;44.93;7.35;8.83;1.48;0.64;4.06;33.48;-1.76;1.32;35.33;15.98;22.46;0.45;0.55;0.36;64.15;145.76;409414339.32;14.46;5.11;0.3;41141804156.08;35.623170571232;100.0%;358.0;Novo Mercado;94.07%;0.875;0.625;2014.0;0.7142857142857143;2014.0;0.03914731948171091;0.5396556831312824;0.19803044250318114;0.3091397903718385;0.18513388734995617;0.18484263151913316;0.05895576504713329;0.4102321188777498;2016.0
RENT3;54.04;3.54;37.36;2.29;0.78;29.04;19.78;5.75;10.85;16.16;5.31;1.12;2.15;221.77;-0.98;1.02;6.13;2.09;8.55;0.34;0.66;0.36;24.03;25.03;391438120.56;23.59;1.45;-2.32;57719871038.76;30.598178854594;100.0%;147.0;Novo Mercado;84.49%;1.0;1.0;;1.0;;0.010041062989074367;0.0027966354653785608;0.004434418005234253;0.06427702528389401;-0.00328947368421062;0.03761203098891164;-0.0038863976083705065;-0.007993103023583248;
MGLU3;2.02;;-34.28;1.43;0.37;28.51;2.49;-1.06;14.67;19.1;4.43;0.43;0.36;5.8;-0.78;1.14;-4.17;-1.08;1.31;0.26;0.74;1.01;25.49;;310374847.41;1.41;-0.06;-39.17;13632832232.96;74.169595534321;100.0%;564.0;Novo Mercado;42.59%;1.0;0.5882352941176471;2024.0;0.6153846153846154;2024.0;-0.021547841751539787;0.07323109941845773;-0.161116697477241;-0.15813315742354994;0.26198374603108077;0.5157845868151525;-0.027426470588231777;0.012687902648531368;
HAPV3;3.55;;-26.13;0.55;0.36;24.41;0.59;-3.8;167.69;202.01;34.32;0.11;0.99;62.86;-0.41;1.05;-2.09;-1.37;-0.36;0.66;0.34;0.36;43.91;;288446013.53;6.51;-0.14;-0.09;26765094583.65;79.327254313276;100.0%;172.0;Novo Mercado;59.1%;1.0;0.7;2024.0;0.5;2024.0;-0.08455441318252932;0.7342680600043865;0.6103870254330481;-0.020944871747065386;0.38342762847712275;0.17756052815797085;-0.19018404907974673;-0.007376298928554292;
BPAC11;37.31;1.69;16.19;3.0;0.34;19.88;23.13;19.91;13.93;13.93;;;3.22;23.23;-3.44;1.02;18.51;2.07;;0.11;0.89;0.1;46.0;33.74;282764620.62;12.46;2.31;0.69;143097778171.23;31.397614027522;100.0%;165.0;Nível 2;31.96%;0.8125;1.0;;1.0;;-0.06128381928731419;-0.003094539687957143;-0.005212649683518311;-0.013119647494556408;;;-0.0012731384538070545;-19.06886517938153;2020.0
