;Ticker;Nome da Empresa;Setor;Subsetor;Nota dos Usuários;Segmento de Listagem;Tag Along;Free Float;Vol Histórica;Tickers Opções;LIQUIDEZ MEDIA DIARIA;P/L;lpa_pos_years;lpa_last_negative_year;lpa_trend;P/ATIVOS;P/VP;vpa_trend;MARGEM BRUTA;margembruta_pos_years;margembruta_last_negative_year;margembruta_trend;MARGEM EBIT;MARG. LIQUIDA;margemliquida_pos_years;margemliquida_last_negative_year;margemliquida_trend;EV/EBIT;LIQ. CORRENTE;liquidezcorrente_trend;DIVIDA LIQUIDA / EBIT;dividaliquida_ebit_trend;DIV. LIQ. / PATRI.;dividaliquida_patrimonioliquido_trend;PASSIVOS / ATIVOS;passivo_ativo_trend;P. AT CIR. LIQ.;Div Br/ Patrim;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq
VALE3;VALE3;Vale;Mineração;Minerais Metálicos;4.3;Novo Mercado;100% ON;76,48% ON;26.432432209113;992.0;1834162724.21;6.31;0.8571428571428571;2019.0;0.0885517739564041;0.67;1.58;0.0326941090638657;40.12;1.0;;-0.0101613079433241;31.07;23.03;0.8823529411764706;2019.0;0.0154499891043786;5.46;1.08;-0.0777045705860519;0.78;0.0103923570595074;0.26;-0.0406538139144951;0.56;0.0175636480825023;-0.81;0.37;70289000000.0;20168000000.0;50121000000.0;73474000000.0;190172000000.0
PETR4;PETR4;Petrobras;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;3.7;Nível 2;100% ON - 100% PN;44,10% ON - 71,31% PN - 55,78% Total;30.091372066372;1383.0;1301390794.35;4.04;0.7142857142857143;2017.0;0.0961499797250637;0.54;1.43;0.0152344357814699;51.08;1.0;;0.0282502131287258;38.69;25.53;0.7647058823529411;2017.0;0.0449929399958106;3.86;0.95;-0.0359270626466939;1.15;0.0611168455821691;0.62;0.0283061594202933;0.62;0.0176445578231285;-0.63;0.79;305451000000.0;67147000000.0;238304000000.0;147311000000.0;386007000000.0
ITUB4;ITUB4;Banco Itaú;Intermediários Financeiros;Bancos;4.9;Nível 1;80% ON - 80% PN;9,08% ON - 87,46% PN - 47,82% Total;21.02078784595;456.0;860035044.41;10.99;1.0;;-0.0116844204055985;0.14;1.9;-0.0006839059558554;30.03;1.0;;-0.0397915027537457;9.92;8.3;1.0;;0.2319249934874518;8.57;;0.079203334877246;;;;;0.92;0.0014387339141557;-0.14;;;;;;182505000000.0
BBDC4;BBDC4;Banco Bradesco;Intermediários Financeiros;Bancos;4.2;Nível 1;100% ON - 80% PN;28,49% ON - 97,72% PN - 63,05% Total;31.18892637332;576.0;793480394.06;10.74;1.0;;-0.0912752972103383;0.08;0.89;-0.0100118628152183;30.94;1.0;;-0.0219962177399583;3.95;6.18;1.0;;-0.0251704768125361;15.98;11.4;0.1746852670976852;;;;;0.91;0.0033346198379009;-0.09;;;;;;161182000000.0
BBAS3;BBAS3;Banco do Brasil;Intermediários Financeiros;Bancos;4.7;Novo Mercado;100% ON;49,59% ON;22.589095359837;688.0;500503101.5;5.1;1.0;;0.060373089336571;0.08;1.03;0.056506588271167;32.66;1.0;;0.0071227942092602;15.94;12.4;1.0;;-0.004981099667536;3.97;14.76;-0.0816276632902549;;;;;0.92;-0.0028886168910647;-0.08;;;;;;163638000000.0
B3SA3;B3SA3;B3;Serviços Financeiros Diversos;Serviços Financeiros Diversos;4.6;Novo Mercado;100% ON;72,14% ON;33.124567973705;373.0;452366870.76;17.31;1.0;;0.0296183931325413;1.53;3.61;-0.0941589211666865;85.66;1.0;;-0.0100587641423501;51.52;40.19;1.0;;-0.0230453535575205;12.89;1.46;-0.0429074446680077;-0.62;-0.2349167822468678;-0.17;0.031072106261857;0.58;0.0564112903226006;-2.38;0.57;11577000000.0;14931000000.0;-3353960000.0;17212900000.0;20233800000.0
PRIO3;PRIO3;PRIO;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;4.7;Novo Mercado;100% ON;83,24% ON;35.623170571232;358.0;409414339.32;9.03;0.7142857142857143;2014.0;0.1980304425031811;1.44;3.19;0.3091397903718385;62.28;0.875;2016.0;0.0391473194817109;55.18;44.93;0.625;2014.0;0.5396556831312824;8.83;1.32;0.4102321188777498;1.48;0.1848426315191331;0.64;0.1851338873499561;0.55;0.0589557650471332;-1.76;0.82;10521700000.0;2225260000.0;8296450000.0;5086530000.0;12901100000.0
RENT3;RENT3;Localiza;Diversos;Aluguel de carros;4.3;Novo Mercado;100% ON;79,91% ON;30.598178854594;147.0;391438120.56;37.36;1.0;;0.0044344180052342;0.78;2.29;0.064277025283894;29.04;1.0;;0.0100410629890743;19.78;5.75;1.0;;0.0027966354653785;16.16;1.02;-0.0079931030235832;5.31;0.0376120309889116;1.12;-0.0032894736842106;0.66;-0.0038863976083705;-0.98;1.46;36721000000.0;8494350000.0;28226600000.0;15103900000.0;25191500000.0
MGLU3;MGLU3;Magazine Luiza;Comércio;Eletrodomésticos;2.9;Novo Mercado;100% ON;42,60% ON;74.169595534321;564.0;310374847.41;-34.28;0.6153846153846154;2024.0;-0.161116697477241;0.37;1.43;-0.1581331574235499;28.51;1.0;;-0.0215478417515397;2.49;-1.06;0.5882352941176471;2024.0;0.0732310994184577;19.1;1.14;0.0126879026485313;4.43;0.5157845868151525;0.43;0.2619837460310807;0.74;-0.0274264705882317;-0.78;0.78;7403320000.0;3284850000.0;4118460000.0;19475800000.0;9532650000.0
HAPV3;HAPV3;Hapvida;Serv.Méd.Hospit. Análises e Diagnósticos;Serv.Méd.Hospit. Análises e Diagnósticos;2.4;Novo Mercado;100% ON;58,36% ON;79.327254313276;172.0;288446013.53;-26.13;0.5;2024.0;0.6103870254330481;0.36;0.55;-0.0209448717470653;24.41;1.0;;-0.0845544131825293;0.59;-3.8;0.7;2024.0;0.7342680600043865;202.01;1.05;-0.0073762989285542;34.32;0.1775605281579708;0.11;0.3834276284771227;0.34;-0.1901840490797467;-0.41;0.22;10898200000.0;5420110000.0;5478120000.0;8911270000.0;49114400000.0
