;Ticker;Nome da Empresa;Setor de Atuação;Nota dos Usuários;Num. de Votos;Segmento de Listagem;Tag Along;Free Float;Listagem CVM;Fundação;Tickers Opções;Vol Histórica;LIQUIDEZ MEDIA DIARIA;PRECO;VPA;P/L;P/VP;EV/EBIT;LIQ. CORRENTE;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS;LPA;lpa_AV;lpa_LR;lpa_PY;lpa_LNY;MARGEM BRUTA;margembruta_AV;margembruta_LR;margembruta_PY;margembruta_LNY;MARG. LIQUIDA;margemliquida_AV;margemliquida_LR;margemliquida_PY;margemliquida_LNY;DIVIDA LIQUIDA / EBIT;dividaliquida_ebit_AV;dividaliquida_ebit_LR;Min_HY;Max_HY
VALE3;VALE3;Vale;Mineração;4.3;104;Novo Mercado;100% ON;76,48% ON;1970;1943;1027.0;26.371018600103;1840287041.81;67.68;41.9;6.47;1.62;5.57;1.08;15.85;21.94;10.47;7.074600000000001;0.1308925616930554;0.8;2019.0;40.12;41.440000000000005;0.039074732323985506;1.0;;23.03;13.078;0.14991767239042098;0.8;2019.0;0.78;1.8830000000000002;-0.02188516475746005;2015.0;2024.0
ITUB4;ITUB4;Banco Itaú;Bancos;4.9;160;Nível 1;80% ON - 80% PN;9,08% ON - 87,46% PN - 47,82% Total;2002;1943;521.0;21.304253102142;852912577.54;34.26;18.73;10.55;1.83;8.24;;13.63;6.54;3.25;3.21252;-0.04001699099157119;1.0;;30.03;45.79599999999999;-0.03383059086882212;1.0;;8.3;13.239;-0.12724432349931047;1.0;;;;;2015.0;2024.0
BBDC4;BBDC4;Banco Bradesco;Bancos;4.2;126;Nível 1;100% ON - 80% PN;28,49% ON - 97,72% PN - 63,05% Total;1977;1943;591.0;31.089569700174;772090232.86;13.84;15.62;10.64;0.89;15.82;11.4;8.37;-4.12;1.3;2.3491999999999997;-0.18457795182477132;1.0;;30.94;43.552;-0.028992894145268955;1.0;;6.18;12.844;-0.07579813320679107;1.0;;;;;2015.0;2024.0
BBAS3;BBAS3;Banco do Brasil;Bancos;4.7;124;Novo Mercado;100% ON;49,59% ON;1977;1808;751.0;22.644283684067;524465631.03;57.41;57.82;4.94;0.99;3.84;14.76;9.97;25.65;11.62;6.6797699999999995;0.08885701299816628;1.0;;32.66;31.069999999999993;0.05933615001321457;1.0;;12.4;11.030000000000001;0.05734390033102099;1.0;;;;;2015.0;2024.0
B3SA3;B3SA3;B3;Bolsa de Valores;4.6;136;Novo Mercado;100% ON;72,14% ON;2008;2007;385.0;33.146163132426;452994702.3;12.36;3.58;16.54;3.45;12.28;1.46;22.44;26.63;0.75;0.9945700000000002;-0.02935752854520257;1.0;;85.66;94.1;-0.02274026190704459;1.0;;40.19;49.864999999999995;-0.122073021235238;1.0;;-0.62;-1.4439999999999997;-2.267042783262129;2015.0;2024.0
PRIO3;PRIO3;PRIO;Petróleo e Gás - E&P;4.7;170;Novo Mercado;100% ON;83,24% ON;2010;2008;373.0;35.631222383417;408260561.95;45.71;14.46;8.94;3.16;8.77;1.32;64.15;145.76;5.11;4.98997;-0.027098953757753175;1.0;;62.28;35.799;0.11683402661862119;0.8;2016.0;44.93;37.45;0.01874219260536769;1.0;;1.48;-1.596;0.36124771339653217;2015.0;2024.0
RENT3;RENT3;Localiza;Locação - Veículos;4.3;55;Novo Mercado;100% ON;79,91% ON;2005;1973;158.0;30.528577334968;382373234.41;52.64;23.59;36.39;2.23;15.88;1.02;24.03;25.03;1.45;1.67471;-0.006387410580161124;1.0;;29.04;30.532000000000004;0.015228163597367672;1.0;;5.75;9.513;-0.014532002986488712;1.0;;5.31;4.013;0.056637745743450596;2015.0;2024.0
EQTL3;EQTL3;Equatorial;Energia - Distribuição;4.6;145;Novo Mercado;100% ON;72,34% ON;2006;1999;96.0;21.812756545564;249904278.41;33.49;17.06;20.64;1.96;9.94;1.19;24.5;13.29;1.62;4.03365;-0.18263678111078574;1.0;;30.07;29.083999999999996;0.017630999863784913;1.0;;4.94;9.892;-0.07189367585405582;1.0;;4.8;2.871111111111111;0.07748239476373664;2015.0;2024.0
ABEV3;ABEV3;Ambev;Bebidas;4.4;131;Tradicional;80% ON;27,98% ON;2013;2005;337.0;18.907335507314;245042081.92;12.84;5.73;13.41;2.24;10.11;1.11;10.72;15.72;0.96;0.7860099999999999;0.03387412468590356;1.0;;50.3;56.645999999999994;-0.042306330539066406;1.0;;18.29;20.517;-0.05119063195079898;1.0;;-0.75;-0.62;0.06016538351867862;2015.0;2024.0
LREN3;LREN3;Lojas Renner;Vestuário - Geral;4.2;137;Novo Mercado;100% ON;89,13% ON;1977;1965;223.0;46.259794104648;224790439.27;15.29;10.14;15.82;1.51;14.84;1.7;12.26;4.91;0.97;1.46223;-0.363658318034776;1.0;;60.17;59.79;-0.00032280855625399507;1.0;;6.95;9.668000000000001;-0.04279178254238847;1.0;;-1.21;-0.19400000000000003;0.19659135949271622;2015.0;2024.0
WEGE3;WEGE3;Weg;Motores e Compressores;4.9;329;Novo Mercado;100% ON;35,37% ON;1982;1961;238.0;25.502634876283;209027598.76;36.05;3.84;30.45;9.38;24.94;1.86;25.71;34.19;1.18;0.8863200000000001;0.052785520112860196;1.0;;31.56;29.691000000000003;0.01100265608114337;1.0;;15.7;13.312999999999999;0.0329401454872571;1.0;;-0.48;-0.319;0.1128564749883274;2015.0;2024.0
ITSA4;ITSA4;Itaúsa;Holding;4.3;62;Nível 1;80% ON - 80% PN;9,56% ON - 74,41% PN - 52,12% Total;1977;1966;192.0;19.766648992269;204507282.78;10.28;7.72;7.69;1.33;7.15;1.65;11.3;11.13;1.34;1.22913;0.015792728172147052;1.0;;33.55;29.080000000000002;0.041136580171491355;1.0;;186.19;170.494;-0.0021361148764684756;1.0;;0.19;0.173;0.0692233478051183;2015.0;2024.0
RADL3;RADL3;RaiaDrogasil;Varejo - Farmacêutico;4.8;134;Novo Mercado;100% ON;74,06% ON;1977;1935;86.0;23.015998657511;197909510.08;26.12;3.33;41.57;7.84;22.94;1.47;17.08;16.12;0.63;1.03982;-0.21304427243874624;1.0;;29.98;30.094;-0.0026245275137287694;1.0;;3.28;3.498;-0.02889867841410554;1.0;;1.2;0.736;0.09555993616823533;2015.0;2024.0
BBSE3;BBSE3;BB Seguridade;Seguros;4.4;67;Novo Mercado;100% ON;33,59% ON;2013;2012;184.0;18.599848164061;173152248.92;33.13;5.33;8.65;6.21;7.63;1.61;;13.59;3.83;2.5804699999999996;0.05673902876609915;1.0;;;;;;;;;;;;;;;2015.0;2024.0
ARZZ3;ARZZ3;Arezzo;Vestuário - Calçados;4.7;137;Novo Mercado;100% ON;54,88% ON;2011;1972;94.0;43.484397747865;163114304.65;59.65;26.05;17.21;2.29;12.99;1.23;25.49;20.02;3.47;2.252;0.08280380279329358;1.0;;53.6;48.663;0.02488711052717285;1.0;;8.13;9.154999999999998;-0.02788829779307378;1.0;;0.82;-0.07400000000000001;0.24107266916775583;2015.0;2024.0
