,Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2020,P/Ativos,Marg. Líquida,2019,P/Cap. Giro,EBIT / Ativo,2018,P/Ativ Circ Liq,ROIC,2017,Div. Yield,ROE,2016,EV / EBITDA,Liquidez Corr,2015,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,Receita Líquida_,EBIT,EBIT_,Lucro Líquido,Lucro Líquido_,Depósitos,Cart. de Crédito,Result Int Financ,Result Int Financ_,Rec Serviços,Rec Serviços_
AALR3,AALR3,10.64,ON NM,09/04/2020,ALLIAR ON NM,8.32,Saúde,23.15,"Serviços Médico - Hospitalares, Análises e Diagnósticos",7334810.0,1258640000.0,31/12/2019,1785110000.0,118293000.0,0.0868,30.48,0.35,0.1822,0.98,10.84,-0.2963,10.01,0.265,-0.2737,1.17,0.11699999999999999,-0.41409999999999997,0.52,0.047,0.3716,116.41,0.052000000000000005,-0.1005,-1.9,0.055999999999999994,0.0103,0.008,0.032,-0.2368,7.33,1.03,0.0,14.19,0.48,0.10300000000000001,0.45,2401120000.0,614769000.0,88301000.0,526468000.0,417043000.0,1282190000.0,1072870000.0,262156000.0,125793000.0,24921000.0,41300000.0,7442000.0,,,,,,
ABCB4,ABCB4,13.6,PN N2,09/04/2020,ABC Brasil PN N2,11.03,Financeiros,23.75,Bancos,14530200.0,2969680000.0,31/12/2019,,218359000.0,0.0421,5.62,2.42,0.027200000000000002,0.73,18.51,-0.1542,,,-0.2586,,,-0.3122,,0.0,0.2682,,0.0,0.0564,,,0.3336,0.077,0.131,0.7739,,,-0.27940000000000004,,,0.501,,36253300000.0,,,,,4040730000.0,,,,,528399000.0,145599000.0,5693870000.0,13280500000.0,722056000.0,218790000.0,348713000.0,97987000.0
ABEV3,ABEV3,12.1,ON NM,09/04/2020,AMBEV S/A ON NM,11.03,Bebidas,20.18,Cervejas e Refrigerantes,490808000.0,190395000000.0,31/12/2019,181543000000.0,15735100000.0,-0.0171,16.16,0.75,0.0151,3.11,3.89,-0.1752,12.21,0.588,-0.30079999999999996,3.62,0.29600000000000004,-0.3519,1.87,0.23199999999999998,0.2408,72.95,0.153,-0.2559,-16.46,0.20600000000000002,0.331,0.040999999999999995,0.192,-0.0496,9.02,1.1,0.1371,11.64,0.05,0.034,0.52,101743000000.0,3062800000.0,11915200000.0,-8852420000.0,27621100000.0,61278000000.0,52599700000.0,15856800000.0,15594000000.0,5342540000.0,11780000000.0,4099700000.0,,,,,,
ADHM3,ADHM3,3.35,,09/04/2020,VITALYZE.ME,1.07,Prods. de Uso Pessoal e de Limpeza,3.35,Produtos de Uso Pessoal,232898.0,25336000.0,30/09/2019,25336000.0,7563000.0,0.0182,-4.07,-0.82,1.3103,-1.28,-2.61,0.8611,-5.67,1.0,1.534,767.76,-135.485,0.5282,104.69,-188.606,0.7467,-1.42,-18.475,-0.2647,-1.27,5.2170000000000005,-0.3544,0.0,0.315,0.0,-5.79,0.0,0.0,-5.67,,0.435,0.14,242000.0,0.0,0.0,0.0,23000.0,-19776000.0,33000.0,33000.0,-4471000.0,-993000.0,-6224000.0,-2492000.0,,,,,,
AFLT3,AFLT3,6.85,ON,09/04/2020,AFLUENTE T ON,4.38,Energia Elétrica,32.74,Energia Elétrica,23249.0,432132000.0,31/12/2019,381634000.0,63085000.0,-0.0473,17.11,0.4,0.0538,2.02,3.4,-0.2721,17.31,0.6629999999999999,0.2828,11.19,0.6459999999999999,-0.3818,1.92,0.654,1.0146,6.07,0.111,0.1506,6.75,0.146,0.9351999999999999,0.015,0.11800000000000001,0.39549999999999996,15.29,18.09,0.0473,15.29,0.01,0.079,0.17,225655000.0,1248000.0,51746000.0,-50498000.0,75356000.0,214346000.0,38621000.0,10571000.0,24961000.0,3817000.0,25257000.0,4164000.0,,,,,,
AGRO3,AGRO3,17.45,ON NM,09/04/2020,BRASILAGRO ON NM,13.8,Exploração de Imóveis,20.75,Exploração de Imóveis,2051830.0,1083720000.0,31/12/2019,1448490000.0,62104300.0,0.0087,26.8,0.65,0.0058,1.15,15.18,-0.0113,8.97,0.309,0.18309999999999998,1.91,0.213,-0.0825,0.72,0.18,0.2851,4.32,0.08,0.31670000000000004,-11.66,0.08900000000000001,0.154,0.049,0.043,0.0587,10.06,2.1,0.4241,11.98,0.49,0.122,0.37,1515090000.0,458309000.0,93538000.0,364771000.0,479155000.0,942966000.0,567527000.0,129058000.0,120861000.0,43114000.0,40442000.0,0.0,,,,,,
AHEB5,AHEB5,19.02,PNA,03/04/2020,PARQUE ANHEMBI PNA,19.02,Exploração de Imóveis,32.48,Exploração de Imóveis,580.0,143068000.0,31/12/2019,115838000.0,7522000.0,0.0,-3.36,-5.66,-0.05,5.26,3.62,-0.0951,-3.36,0.231,-0.3104,1.25,-0.371,-0.4144,0.54,-0.371,0.0,-8.2,-0.162,0.0,-0.74,-0.191,0.21030000000000001,0.0,-1.564,0.0,-3.78,0.71,0.0,-2.72,,-0.146,0.44,262642000.0,0.0,27230000.0,-27230000.0,41859000.0,27217000.0,114838000.0,-27900000.0,-42582000.0,37489000.0,-42560000.0,36420000.0,,,,,,
ALPA3,ALPA3,22.0,ON N1,09/04/2020,ALPARGATAS ON N1,14.49,"Tecidos, Vestuário e Calçados",33.89,Calçados,86082.0,12937400000.0,31/12/2019,12649900000.0,588062000.0,-0.0364,47.2,0.47,0.1305,4.9,4.49,-0.049699999999999994,21.86,0.503,0.4489,3.49,0.159,-0.201,2.86,0.07,1.107,9.56,0.131,-0.0143,15.73,0.16399999999999998,0.9587,0.002,0.10400000000000001,-0.0504,16.84,2.08,0.6302,21.37,0.11,-0.025,0.82,4522040000.0,278750000.0,566263000.0,-287513000.0,2610130000.0,2642930000.0,3712180000.0,741647000.0,591961000.0,241592000.0,274105000.0,118783000.0,,,,,,
ALPA4,ALPA4,25.99,PN N1,09/04/2020,ALPARGATAS PN N1,15.09,"Tecidos, Vestuário e Calçados",37.91,Calçados,68201500.0,15283700000.0,31/12/2019,14996200000.0,588062000.0,0.0034999999999999996,55.76,0.47,0.1222,5.78,4.49,0.0168,25.82,0.503,0.7319,4.12,0.159,-0.2159,3.38,0.07,1.4394,11.29,0.131,0.003,18.58,0.16399999999999998,0.7831999999999999,0.002,0.10400000000000001,0.4359,19.96,2.08,0.1497,25.33,0.11,-0.025,0.82,4522040000.0,278750000.0,566263000.0,-287513000.0,2610130000.0,2642930000.0,3712180000.0,741647000.0,591961000.0,241592000.0,274105000.0,118783000.0,,,,,,
ALSO3,ALSO3,26.82,ON,09/04/2020,ALIANSCSONAE ON,21.92,Exploração de Imóveis,54.9,Exploração de Imóveis,69164000.0,7128030000.0,31/12/2019,5927980000.0,265773000.0,-0.0037,323.6,0.08,0.0083,1.11,24.24,-0.2848,17.14,0.731,-0.0761,9.59,0.56,-0.46509999999999996,0.65,0.076,0.9764,5.47,0.038,0.037200000000000004,-3.86,0.043,0.5025,0.005,0.003,0.09480000000000001,11.08,6.44,-0.0256,14.25,,0.18600000000000003,0.07,10906500000.0,0.0,1200050000.0,-1200050000.0,1543250000.0,6443630000.0,743186000.0,350725000.0,415981000.0,168728000.0,22027000.0,101965000.0,,,,,,
